Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,age_group,usage_level,addiction_risk_level,sleep_deficit_hours,academic_risk_flag,mental_health_risk_level,psycho_social_risk_index,estimated_social_media_exposure_years,global_addiction_trend_index_for_cohort,pandemic_exposure_phase,country_usage_bucket,country_youth_usage_intensity_index
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,18-19,very_high,addicted,1.5,1,moderate,0.675,6.4,0.9,pandemic_cohort,high,0.6666666666666666
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,22-24,moderate,no_risk,0.5,0,high,0.385,9.4,0.7,pandemic_cohort,high,0.6666666666666666
3,20,Female,Undergraduate,USA,6.0,TikTok,Yes,5.0,5,Complicated,4,9,20-21,very_high,addicted,3.0,1,moderate,0.76,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
4,18,Male,High School,UK,3.0,YouTube,No,7.0,7,Single,1,4,18-19,high,no_risk,1.0,0,moderate,0.42000000000000004,5.4,1.0,pandemic_cohort,low,0.16666666666666666
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,20-21,high,at_risk,2.0,1,moderate,0.66,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,18-19,very_high,addicted,3.5,1,low,0.755,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,9,Single,0,2,22-24,moderate,no_risk,0.0,0,high,0.35000000000000003,10.4,0.7,pre_pandemic_cohort,low,0.16666666666666666
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,20-21,very_high,addicted,2.0,1,moderate,0.7000000000000001,7.4,0.9,pandemic_cohort,very_high,0.8333333333333334
9,18,Male,High School,Japan,4.0,TikTok,No,6.5,7,Single,1,5,18-19,high,no_risk,1.5,1,moderate,0.585,5.4,1.0,pandemic_cohort,low,0.16666666666666666
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4,20-21,high,no_risk,1.0,1,moderate,0.52,8.4,0.9,pandemic_cohort,low,0.16666666666666666
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,18-19,high,at_risk,1.7999999999999998,1,moderate,0.62,6.4,0.9,pandemic_cohort,low,0.16666666666666666
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8,20-21,very_high,addicted,2.2,1,moderate,0.7100000000000001,7.4,0.9,pandemic_cohort,low,0.16666666666666666
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4,22-24,moderate,no_risk,0.7999999999999998,0,high,0.44,9.4,0.7,pandemic_cohort,low,0.16666666666666666
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,18-19,very_high,addicted,2.5,1,moderate,0.735,5.4,1.0,pandemic_cohort,high,0.6666666666666666
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5,20-21,high,no_risk,1.2000000000000002,1,moderate,0.57,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7,20-21,high,at_risk,2.0,1,moderate,0.66,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
17,24,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3,22-24,moderate,no_risk,0.20000000000000018,0,high,0.37,11.4,0.7,pre_pandemic_cohort,low,0.16666666666666666
18,19,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8,18-19,very_high,addicted,2.3,1,moderate,0.685,6.4,0.9,pandemic_cohort,low,0.16666666666666666
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,20-21,high,no_risk,1.2999999999999998,1,moderate,0.575,8.4,0.9,pandemic_cohort,low,0.16666666666666666
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,20-21,high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,7.4,0.9,pandemic_cohort,low,0.16666666666666666
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8,18-19,very_high,addicted,2.5,1,moderate,0.6950000000000001,5.4,1.0,pandemic_cohort,low,0.16666666666666666
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,22-24,moderate,no_risk,0.7000000000000002,0,high,0.43500000000000005,10.4,0.7,pre_pandemic_cohort,low,0.16666666666666666
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,18-19,high,at_risk,2.2,1,moderate,0.67,6.4,0.9,pandemic_cohort,low,0.16666666666666666
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8,20-21,very_high,addicted,2.5999999999999996,1,moderate,0.7000000000000001,7.4,0.9,pandemic_cohort,low,0.16666666666666666
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,22-24,high,no_risk,1.0999999999999996,1,moderate,0.565,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,18-19,very_high,addicted,2.8,1,moderate,0.75,6.4,0.9,pandemic_cohort,low,0.16666666666666666
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5,20-21,high,no_risk,1.4000000000000004,1,moderate,0.58,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7,20-21,high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3,22-24,moderate,no_risk,0.5999999999999996,0,high,0.38999999999999996,11.4,0.7,pre_pandemic_cohort,high,0.6666666666666666
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,18-19,very_high,addicted,2.7,1,moderate,0.7050000000000001,6.4,0.9,pandemic_cohort,high,0.6666666666666666
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,20-21,high,no_risk,1.2999999999999998,1,moderate,0.575,8.4,0.9,pandemic_cohort,high,0.6666666666666666
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,20-21,high,at_risk,2.3,1,moderate,0.6749999999999999,7.4,0.9,pandemic_cohort,very_high,0.8333333333333334
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8,18-19,very_high,addicted,2.5999999999999996,1,moderate,0.7000000000000001,5.4,1.0,pandemic_cohort,high,0.6666666666666666
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4,22-24,moderate,no_risk,0.7999999999999998,0,high,0.44,10.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,18-19,high,at_risk,2.2,1,moderate,0.67,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8,20-21,very_high,addicted,2.5,1,moderate,0.6950000000000001,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5,22-24,high,no_risk,1.2000000000000002,1,moderate,0.57,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,18-19,very_high,addicted,2.9000000000000004,1,moderate,0.7550000000000001,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6,20-21,high,at_risk,1.5,1,moderate,0.625,8.4,0.9,pandemic_cohort,high,0.6666666666666666
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7,20-21,high,at_risk,2.2,1,moderate,0.67,7.4,0.9,pandemic_cohort,high,0.6666666666666666
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4,22-24,moderate,no_risk,0.7000000000000002,0,high,0.43500000000000005,11.4,0.7,pre_pandemic_cohort,very_high,0.8333333333333334
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8,18-19,very_high,addicted,2.5999999999999996,1,moderate,0.7000000000000001,6.4,0.9,pandemic_cohort,high,0.6666666666666666
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5,20-21,high,no_risk,1.4000000000000004,1,moderate,0.58,8.4,0.9,pandemic_cohort,very_high,0.8333333333333334
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,20-21,high,at_risk,2.3,1,moderate,0.6749999999999999,7.4,0.9,pandemic_cohort,high,0.6666666666666666
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8,18-19,very_high,addicted,2.7,1,moderate,0.7050000000000001,5.4,1.0,pandemic_cohort,high,0.6666666666666666
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4,22-24,moderate,no_risk,0.9000000000000004,0,high,0.44500000000000006,10.4,0.7,pre_pandemic_cohort,very_high,0.8333333333333334
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,18-19,high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,6.4,0.9,pandemic_cohort,high,0.6666666666666666
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8,20-21,very_high,addicted,2.4000000000000004,1,moderate,0.6900000000000001,7.4,0.9,pandemic_cohort,high,0.6666666666666666
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5,22-24,high,no_risk,1.2999999999999998,1,moderate,0.575,9.4,0.7,pandemic_cohort,high,0.6666666666666666
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9,18-19,very_high,addicted,2.8,1,moderate,0.75,6.4,0.9,pandemic_cohort,high,0.6666666666666666
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6,20-21,high,at_risk,1.5999999999999996,1,moderate,0.6299999999999999,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7,20-21,high,at_risk,2.2,1,moderate,0.67,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4,22-24,moderate,no_risk,0.7999999999999998,0,high,0.44,11.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8,18-19,very_high,addicted,2.5,1,moderate,0.6950000000000001,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5,20-21,high,no_risk,1.5,1,moderate,0.585,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,20-21,high,at_risk,2.4000000000000004,1,moderate,0.68,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8,18-19,very_high,addicted,2.8,1,moderate,0.7100000000000001,5.4,1.0,pandemic_cohort,medium,0.46111111111111114
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1,4,22-24,moderate,no_risk,1.0,0,high,0.45,10.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7,18-19,high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,6.4,0.9,pandemic_cohort,low,0.16666666666666666
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8,20-21,very_high,addicted,2.3,1,moderate,0.685,7.4,0.9,pandemic_cohort,low,0.16666666666666666
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5,22-24,high,no_risk,0.9000000000000004,1,moderate,0.555,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,18-19,very_high,addicted,2.4000000000000004,1,moderate,0.6900000000000001,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6,Complicated,3,7,20-21,high,at_risk,2.0,1,moderate,0.66,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9,18-19,very_high,addicted,2.8,1,low,0.72,5.4,1.0,pandemic_cohort,medium,0.46111111111111114
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3,22-24,moderate,no_risk,0.5999999999999996,0,high,0.38999999999999996,10.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7,20-21,high,at_risk,2.2,1,moderate,0.67,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6,20-21,high,at_risk,1.5,1,moderate,0.625,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8,18-19,very_high,addicted,2.5999999999999996,1,moderate,0.7000000000000001,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4,22-24,moderate,no_risk,0.7999999999999998,0,high,0.44,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7,20-21,high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8,18-19,very_high,addicted,2.5,1,moderate,0.6950000000000001,5.4,1.0,pandemic_cohort,medium,0.46111111111111114
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5,20-21,high,no_risk,1.2000000000000002,1,moderate,0.57,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7,18-19,high,at_risk,2.3,1,moderate,0.6749999999999999,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8,20-21,very_high,addicted,2.7,1,moderate,0.7050000000000001,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,22-24,moderate,no_risk,0.7000000000000002,0,high,0.43500000000000005,10.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7,20-21,high,at_risk,2.2,1,moderate,0.67,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8,18-19,very_high,addicted,2.5999999999999996,1,moderate,0.7000000000000001,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2,5,22-24,moderate,no_risk,1.0,0,moderate,0.45999999999999996,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7,20-21,high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
